READ SERR 1
@nh_14.pco
!
0.101558864 1.55886367E-3 0
0.10472519 1.60746486E-3 0
0.107990235 1.65758119E-3 0
0.111357078 1.70926005E-3 0
0.114828892 1.76255021E-3 0
0.118408941 1.81750162E-3 0
0.122100607 1.87416642E-3 0
0.125907376 1.93259784E-3 0
0.129832819 1.99285103E-3 0
0.13388066 2.05498259E-3 0
0.138054684 2.11905129E-3 0
0.142358854 2.18511769E-3 0
0.146797225 2.2532437E-3 0
0.151373953 2.32349359E-3 0
0.156093389 2.39593373E-3 0
0.160959959 2.47063255E-3 0
0.165978238 2.54766014E-3 0
0.171152994 2.62708915E-3 0
0.176489085 2.70899478E-3 0
0.181991532 2.79345387E-3 0
0.187665522 2.88054603E-3 0
0.193516418 2.9703537E-3 0
0.199549735 3.06296116E-3 0
0.205771163 3.15845595E-3 0
0.212186545 3.25692794E-3 0
0.218801945 3.35847004E-3 0
0.225623593 3.46317794E-3 0
0.232657909 3.57115059E-3 0
0.239911556 3.68248927E-3 0
0.247391343 3.79729923E-3 0
0.255104333 3.91568849E-3 0
0.263057798 4.03776905E-3 0
0.271259218 4.16365592E-3 0
0.279716343 4.29346738E-3 0
0.288437128 4.42732591E-3 0
0.2974298 4.5653577E-3 0
0.306702852 4.70769312E-3 0
0.316265017 4.8544663E-3 0
0.326125294 5.00581507E-3 0
0.336293012 5.16188284E-3 0
0.346777707 5.32281632E-3 0
0.357589275 5.48876729E-3 0
0.368737936 5.65989222E-3 0
0.380234182 5.83635224E-3 4.81346022E-42
0.39208886 6.01831358E-3 1.82184453E-38
0.404313117 6.20594807E-3 3.06004016E-36
0.416918486 6.39943266E-3 3.13519244E-34
0.429916888 6.5989499E-3 2.29270064E-31
0.443320513 6.80468697E-3 9.45937164E-29
0.457142055 7.01683853E-3 2.34890376E-26
0.471394479 7.23560434E-3 3.72886582E-24
0.486091286 7.46119069E-3 3.85818591E-22
0.501246274 7.69381039E-3 2.69562975E-20
0.516873777 7.93368276E-3 1.31383154E-18
0.532988489 8.18103272E-3 4.19183898E-23
0.549605608 8.4360959E-3 2.30292592E-27
0.566740811 8.69910978E-3 2.36805024E-25
0.58441025 8.97032488E-3 1.71506565E-23
0.602630556 9.24999453E-3 9.16616689E-22
0.621418953 9.53838415E-3 3.77747989E-20
0.640793085 9.83576477E-3 1.19088459E-18
0.66077131 1.01424176E-2 2.92245723E-17
0.681372344 1.04586305E-2 5.67535474E-16
0.702615678 1.07847024E-2 8.83541592E-15
0.724521339 1.11209396E-2 1.70214218E-14
0.74710989 1.14676598E-2 3.02581988E-14
0.770402789 1.18251909E-2 3.29690675E-13
0.794421852 1.21938679E-2 3.02003409E-12
0.819189727 1.25740394E-2 2.35861435E-11
0.844729841 1.29660638E-2 1.26383473E-10
0.871066213 1.337031E-2 1.74465262E-10
